"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"274","L","UZ",1,"12,23 1228",9,2.11634729875326,0.1315,0.26823159680016
"275","L","UZ",1,"12,23 1228",9,1.49142503438789,0.1108,0.22434191251322
"276","L","UZ",1,"12,23 1228",9,1.88611012562433,0.131,0.239963120308439
"277","L","UZ",1,"12,23 1228",9,4.35709282814612,0.1186,0.61229522599018
"278","L","UZ",1,"12,23 1228",7,3.16066219839141,0.0891,0.591220014663563
"279","L","UZ",1,"12,23 1228",7,3.12515356668142,0.1262,0.412724982393214
"280","L","UZ",1,"12,23 1228",7,3.48456663740121,0.1202,0.48316231799795
"281","L","UZ",1,"12,23 1228",7,0.878732773109238,0.107,0.13687426372418
"282","L","UZ",1,"12,23 1228",7,3.31761820523828,0.104,0.531669584172802
"283","L","UZ",1,"12,23 1228",7,2.45155812171938,0.1132,0.360947897779649
"284","L","UZ",1,"12,23 1228",7,1.50799149655074,0.1074,0.234014819452319
"285","L","UZ",1,"12,23 1228",7,3.54647030878857,0.0893,0.661901886671999
"286","L","UZ",1,"12,23 1228",7,3.28831214927434,0.1155,0.474503917644205
"287","L","UZ",1,"12,23 1228",7,1.35261142700928,0.0668,0.33747790095042
"288","L","UZ",1,"12,23 1228",7,2.00912212581343,0.1235,0.271136589178601
"289","L","UZ",1,"12,23 1228",11,2.1960773649835,0.0918,0.398706856387709
"290","L","UZ",1,"12,23 1228",11,1.1429379917546,0.1053,0.18090186637458
"291","L","UZ",1,"12,23 1228",11,1.72624846587352,0.0994,0.28944474612232
"292","L","UZ",1,"12,23 1228",11,0.898978519955657,0.0971,0.154304586329498
"293","L","UZ",1,"12,23 1228",11,1.35538222252919,0.1196,0.188877121311202
"294","L","UZ",1,"12,23 1228",11,0.965577675314849,0.0997,0.161413854114819
"295","L","UZ",1,"12,23 1228",10,1.19284501642936,0.1042,0.190794148501177
"296","L","UZ",1,"12,23 1228",10,1.7746170157604,0.1242,0.23813969615679
"297","L","UZ",1,"12,23 1228",10,2.24281124083629,0.1358,0.275259111541027
"298","L","UZ",1,"12,23 1228",10,1.14461446808511,0.1237,0.154219141482769
"299","L","UZ",1,"12,23 1228",10,1.82443805166847,0.1255,0.242289249889571
"300","L","UZ",1,"12,23 1228",10,1.11135171859297,0.1033,0.17930811852097
"301","L","UZ",1,"12,23 1228",10,1.21229098678062,0.1191,0.169646093867985
"302","L","UZ",1,"12,23 1228",10,2.18313351520395,0.1209,0.300955819575951
"303","L","UZ",1,"12,23 1228",8,1.43008022763368,0.0805,0.296082862864115
"304","L","UZ",1,"12,23 1228",8,2.10844374711584,0.1219,0.288275054295302
"305","L","UZ",1,"12,23 1228",8,2.11236075501378,0.1391,0.2530985807589
"306","L","UZ",1,"12,23 1228",8,1.80953800391391,0.1117,0.269999702165608
"307","L","UZ",1,"12,23 1228",8,2.07602852689011,0.1203,0.287618249776962
"308","L","UZ",1,"12,23 1228",8,1.47649351085833,0.1098,0.224118626420512
"309","L","UZ",1,"12,23 1228",8,1.05419405252318,0.1001,0.175523485268595
"310","L","UZ",1,"12,23 1228",8,1.88159137908917,0.0977,0.320981129152025
"311","L","UZ",1,"12,23 1228",8,2.37573554774834,0.1437,0.275543440935785
"312","L","UZ",1,"12,23 1228",8,2.0177567945136,0.1142,0.294477056992645
"313","L","UZ",1,"12,23 1228",8,1.64784268385141,0.1215,0.226041520418575
"314","L","UZ",1,"12,23 1228",13,2.64354921013413,0.086,0.512315738398087
"315","L","UZ",1,"12,23 1228",13,2.80104656804734,0.1027,0.454567765019042
"316","L","UZ",1,"12,23 1228",13,1.69972818328682,0.0941,0.301049979328166
"317","L","UZ",1,"12,23 1228",13,0.630085489510489,0.0915,0.11476967022049
"318","L","UZ",1,"12,23 1228",13,0.927797072039424,0.1107,0.139686400487718
"319","L","UZ",1,"12,23 1228",13,2.56050713564941,0.0942,0.453026740206903
"320","L","UZ",1,"12,23 1228",12,0.877013997423785,0.092,0.158879347359381
"321","L","UZ",1,"12,23 1228",12,1.89632485055508,0.117,0.270131745093316
"322","L","UZ",1,"12,23 1228",12,1.5444030504166,0.127,0.20267756567147
"323","L","UZ",1,"12,23 1228",12,0.976078484210523,0.1161,0.140120368103721
"324","L","UZ",1,"12,23 1228",12,2.12555807397068,0.1197,0.295956289887313
"325","L","UZ",1,"12,23 1228",12,2.47240715176714,0.0985,0.418343003683104
"326","L","UZ",1,"12,23 1228",12,0.743532057811422,0.1125,0.110152897453544
"327","L","UZ",1,"12,23 1228",12,2.67830899152773,0.1193,0.374170018374928
"328","L","UZ",1,"12,23 1228",10,0.962268475311988,0.072,0.222747332248145
"329","L","UZ",1,"12,23 1228",10,1.49469999999999,0.1139,0.218715247292946
"330","L","UZ",1,"12,23 1228",10,2.21022636655948,0.1313,0.280556786818923
